    Elements		    BubbleSort		            SelectionSort		                InsertSort		            HeapSort		            MergeSort		            QuickSort		             RadixSort		               SmoothSort		            Timsort		                CombSort
    2^8 = 256 	    	0.00628924s (100.00%)    	0.00511837s (81.38%)    	    0.00238204s (37.87%)    	0.00070059s (11.14%)    	0.00046957s (7.47%)    	    0.00040460s (6.43%)    	    0.00008416s (1.34%)    	    0.00076008s (12.09%)    	0.00041795s (6.65%)    	    0.00068295s (10.86%)    	
    2^9 = 512 	    	0.02525437s (100.00%)    	0.02043784s (80.93%)    	    0.00958967s (37.97%)    	0.00162756s (6.44%)		   	0.00106835s (4.23%)    	    0.00090516s (3.58%)    	    0.00017118s (0.68%)    	    0.00170445s (6.75%)    	    0.00096226s (3.81%)    	    0.00166249s (6.58%)    	
    2^10 = 1024     	0.10588372s (100.00%)    	0.08406711s (79.40%)    	    0.04209065s (39.75%)    	0.00373173s (3.52%)		   	0.00243163s (2.30%)    	    0.00200438s (1.89%)    	    0.00033796s (0.32%)    	    0.00392139s (3.70%)    	    0.00213814s (2.02%)    	    0.00386405s (3.65%)    	
    2^11 = 2048     	0.42853773s (100.00%)    	0.33679879s (78.59%)    	    0.15482879s (36.13%)    	0.00834262s (1.95%)		   	0.00535929s (1.25%)    	    0.00444341s (1.04%)    	    0.00067139s (0.16%)    	    0.00872719s (2.04%)    	    0.00463510s (1.08%)    	    0.00872338s (2.04%)    	
    2^12 = 4096     	1.74103606s (100.00%)    	1.34103656s (77.03%)    	    0.62357855s (35.82%)    	0.01956689s (1.12%)		   	0.01168668s (0.67%)    	    0.00936711s (0.54%)    	    0.00137436s (0.08%)    	    0.01896155s (1.09%)    	    0.00967693s (0.56%)    	    0.01936471s (1.11%)    	
    2^13 = 8192     	6.84874737s (100.00%)    	5.37780142s (78.52%)    	    2.61154997s (38.13%)    	0.04003859s (0.58%)		   	0.02502739s (0.37%)    	    0.01991880s (0.29%)    	    0.00270224s (0.04%)    	    0.04180241s (0.61%)    	    0.02085984s (0.30%)    	    0.04371798s (0.64%)    	
    2^14 = 16384       27.42383492s (100.00%)      21.62766182s (78.86%)    	    9.95124197s (36.29%)    	0.08677399s (0.32%)      	0.05492616s (0.20%)    	    0.04311872s (0.16%)    	    0.00541854s (0.02%)    	    0.09141481s (0.33%)    	    0.04408216s (0.16%)    	    0.09944403s (0.36%)    	


Finish! from mlem :)
